,time,signals,value
680,1621155136867,RAW,38
681,1621155136868,RAW,45
682,1621155136868,RAW,44
683,1621155136867,RAW,44
684,1621155136867,RAW,50
685,1621155136868,RAW,42
686,1621155136887,ROLL,113
687,1621155136887,YAW,192
688,1621155136888,RAW,48
689,1621155136888,RAW,17
690,1621155136889,RAW,27
691,1621155136889,RAW,25
692,1621155136889,RAW,24
693,1621155136889,RAW,23
694,1621155136889,RAW,22
695,1621155136889,RAW,51
696,1621155136887,PITCH,1
697,1621155136889,RAW,34
698,1621155136889,RAW,21
699,1621155136958,RAW,56
700,1621155136959,RAW,43
701,1621155136958,RAW,50
702,1621155136961,RAW,19
703,1621155136961,RAW,35
704,1621155137206,RAW,16
705,1621155137206,RAW,28
706,1621155137206,RAW,19
707,1621155137207,RAW,16
708,1621155137207,RAW,19
709,1621155137206,RAW,39
710,1621155137207,RAW,19
711,1621155137207,RAW,12
712,1621155137206,RAW,4
713,1621155137243,RAW,16
714,1621155137244,RAW,11
715,1621155137247,RAW,16
716,1621155137249,RAW,23
717,1621155137249,RAW,36
718,1621155137249,RAW,34
719,1621155137250,RAW,35
720,1621155137250,RAW,19
721,1621155137250,RAW,42
722,1621155137250,RAW,7
723,1621155137250,RAW,8
724,1621155137249,RAW,39
725,1621155137249,RAW,28
726,1621155137263,RAW,19
727,1621155137263,RAW,29
728,1621155137266,RAW,23
729,1621155137269,RAW,12
730,1621155137270,RAW,26
731,1621155137270,RAW,50
732,1621155137268,RAW,11
733,1621155137270,RAW,8
734,1621155137269,RAW,6
735,1621155137269,RAW,16
736,1621155137272,RAW,48
737,1621155137273,RAW,37
738,1621155137273,RAW,37
739,1621155137282,RAW,56
740,1621155137282,RAW,57
741,1621155137282,RAW,53
742,1621155137282,RAW,42
743,1621155137282,RAW,37
744,1621155137283,RAW,45
745,1621155137283,RAW,39
746,1621155137283,RAW,41
747,1621155137282,RAW,37
748,1621155137282,RAW,42
749,1621155137282,RAW,49
750,1621155137283,RAW,42
751,1621155137301,RAW,7
752,1621155137301,RAW,-2
753,1621155137301,RAW,-2
754,1621155137301,RAW,9
755,1621155137302,RAW,-2
756,1621155137301,RAW,2
757,1621155137300,RAW,52
758,1621155137301,RAW,0
759,1621155137300,RAW,48
760,1621155137301,RAW,-3
761,1621155137301,RAW,0
762,1621155137300,RAW,24
763,1621155137339,RAW,0
764,1621155137339,RAW,-2
765,1621155137339,RAW,43
766,1621155137339,RAW,4
767,1621155137340,RAW,55
768,1621155137340,RAW,49
769,1621155137340,RAW,41
770,1621155137339,RAW,-5
771,1621155137339,RAW,21
