,time,signals,value
401,08:52:16.441000,RAW,19
402,08:52:16.443000,RAW,21
403,08:52:16.443000,RAW,39
404,08:52:16.440000,RAW,23
405,08:52:16.447000,RAW,38
406,08:52:16.440000,RAW,19
407,08:52:16.443000,RAW,43
408,08:52:16.438000,RAW,29
409,08:52:16.430000,RAW,5
410,08:52:16.432000,RAW,20
411,08:52:16.445000,RAW,16
412,08:52:16.445000,RAW,28
413,08:52:16.447000,RAW,40
414,08:52:16.454000,RAW,52
415,08:52:16.455000,RAW,43
416,08:52:16.451000,RAW,49
417,08:52:16.462000,RAW,-5
418,08:52:16.462000,RAW,6
419,08:52:16.453000,RAW,42
420,08:52:16.462000,RAW,-1
421,08:52:16.452000,RAW,27
422,08:52:16.459000,RAW,53
423,08:52:16.453000,RAW,57
424,08:52:16.450000,RAW,52
425,08:52:16.453000,RAW,58
426,08:52:16.453000,RAW,65
427,08:52:16.459000,RAW,59
428,08:52:16.460000,RAW,41
429,08:52:16.457000,RAW,52
430,08:52:16.454000,RAW,44
431,08:52:16.451000,RAW,35
432,08:52:16.461000,RAW,51
433,08:52:16.461000,RAW,52
434,08:52:16.461000,RAW,40
435,08:52:16.461000,RAW,33
436,08:52:16.447000,RAW,28
437,08:52:16.458000,RAW,58
438,08:52:16.452000,RAW,23
439,08:52:16.461000,RAW,32
440,08:52:16.461000,RAW,38
441,08:52:16.458000,RAW,52
442,08:52:16.456000,RAW,52
443,08:52:16.460000,RAW,49
444,08:52:16.461000,RAW,29
445,08:52:16.477000,RAW,29
446,08:52:16.477000,RAW,10
447,08:52:16.476000,RAW,4
448,08:52:16.534000,RAW,52
449,08:52:16.534000,RAW,56
450,08:52:16.535000,RAW,50
451,08:52:16.535000,RAW,48
452,08:52:16.535000,RAW,50
453,08:52:16.539000,RAW,34
454,08:52:16.539000,RAW,42
455,08:52:16.541000,RAW,65
456,08:52:16.541000,RAW,71
457,08:52:16.541000,RAW,59
458,08:52:16.538000,RAW,37
459,08:52:16.545000,RAW,53
460,08:52:16.545000,RAW,53
461,08:52:16.547000,RAW,44
462,08:52:16.549000,RAW,41
463,08:52:16.549000,RAW,49
464,08:52:16.550000,RAW,55
465,08:52:16.552000,RAW,37
466,08:52:16.552000,RAW,26
467,08:52:16.552000,RAW,40
468,08:52:16.553000,RAW,58
469,08:52:16.553000,RAW,76
470,08:52:16.552000,RAW,27
471,08:52:16.555000,RAW,80
472,08:52:16.556000,RAW,44
473,08:52:16.555000,RAW,66
474,08:52:16.551000,RAW,52
475,08:52:16.558000,RAW,27
476,08:52:16.559000,RAW,23
477,08:52:16.559000,RAW,25
478,08:52:16.559000,RAW,25
479,08:52:16.559000,RAW,25
480,08:52:16.558000,RAW,28
481,08:52:16.558000,RAW,33
482,08:52:16.561000,RAW,37
483,08:52:16.564000,RAW,5
484,08:52:16.563000,RAW,6
485,08:52:16.562000,RAW,36
486,08:52:16.566000,RAW,8
487,08:52:16.565000,RAW,11
488,08:52:16.569000,RAW,-19
489,08:52:16.569000,RAW,18
490,08:52:16.569000,RAW,59
491,08:52:16.569000,RAW,58
492,08:52:16.568000,RAW,-12
493,08:52:16.569000,RAW,3
494,08:52:16.571000,RAW,36
495,08:52:16.568000,RAW,-3
496,08:52:16.563000,RAW,28
497,08:52:16.571000,RAW,21
498,08:52:16.563000,RAW,25
499,08:52:16.571000,RAW,43
500,08:52:16.569000,RAW,24
501,08:52:16.573000,RAW,56
502,08:52:16.573000,RAW,54
503,08:52:16.563000,RAW,34
504,08:52:16.568000,RAW,-2
505,08:52:16.575000,RAW,49
506,08:52:16.563000,RAW,28
507,08:52:16.563000,RAW,12
508,08:52:16.577000,RAW,49
509,08:52:16.577000,RAW,56
510,08:52:16.578000,PITCH,2
511,08:52:16.578000,RAW,34
512,08:52:16.578000,ROLL,112
513,08:52:16.581000,RAW,21
514,08:52:16.581000,RAW,64
515,08:52:16.581000,RAW,35
516,08:52:16.578000,YAW,186
517,08:52:16.583000,RAW,55
518,08:52:16.583000,RAW,53
519,08:52:16.584000,RAW,43
520,08:52:16.582000,RAW,43
521,08:52:16.584000,RAW,37
522,08:52:16.586000,RAW,35
523,08:52:16.586000,RAW,29
524,08:52:16.581000,RAW,45
525,08:52:16.587000,RAW,6
526,08:52:16.587000,RAW,19
527,08:52:16.589000,RAW,33
528,08:52:16.589000,RAW,28
529,08:52:16.590000,RAW,20
530,08:52:16.590000,RAW,12
531,08:52:16.590000,RAW,26
532,08:52:16.589000,RAW,19
533,08:52:16.587000,RAW,6
534,08:52:16.592000,RAW,11
535,08:52:16.586000,RAW,34
536,08:52:16.581000,RAW,67
537,08:52:16.592000,RAW,16
538,08:52:16.592000,RAW,19
539,08:52:16.592000,RAW,19
540,08:52:16.587000,RAW,36
541,08:52:16.578000,RAW,19
542,08:52:16.587000,RAW,22
543,08:52:16.596000,RAW,17
544,08:52:16.596000,RAW,20
545,08:52:16.577000,RAW,42
546,08:52:16.563000,RAW,32
547,08:52:16.594000,RAW,20
548,08:52:16.561000,RAW,33
549,08:52:16.646000,RAW,34
550,08:52:16.645000,RAW,16
551,08:52:16.646000,RAW,22
552,08:52:16.648000,RAW,42
553,08:52:16.650000,RAW,57
554,08:52:16.650000,RAW,51
555,08:52:16.652000,RAW,64
556,08:52:16.652000,RAW,64
557,08:52:16.655000,RAW,59
558,08:52:16.655000,RAW,52
559,08:52:16.656000,RAW,64
560,08:52:16.655000,RAW,68
561,08:52:16.658000,RAW,86
562,08:52:16.659000,RAW,90
563,08:52:16.658000,RAW,80
564,08:52:16.659000,RAW,93
565,08:52:16.660000,RAW,101
566,08:52:16.659000,RAW,97
567,08:52:16.660000,RAW,97
568,08:52:16.655000,RAW,65
569,08:52:16.665000,RAW,98
570,08:52:16.665000,RAW,105
571,08:52:16.668000,RAW,72
572,08:52:16.667000,RAW,82
573,08:52:16.668000,RAW,76
574,08:52:16.669000,RAW,85
575,08:52:16.671000,RAW,61
576,08:52:16.672000,RAW,44
577,08:52:16.672000,RAW,52
578,08:52:16.673000,RAW,68
579,08:52:16.674000,RAW,32
580,08:52:16.673000,RAW,68
581,08:52:16.674000,RAW,43
582,08:52:16.674000,RAW,58
583,08:52:16.676000,RAW,39
584,08:52:16.673000,RAW,72
585,08:52:16.700000,RAW,38
586,08:52:16.700000,RAW,41
587,08:52:16.701000,RAW,44
588,08:52:16.700000,RAW,49
589,08:52:16.703000,RAW,51
590,08:52:16.703000,RAW,58
591,08:52:16.703000,RAW,38
592,08:52:16.704000,RAW,25
593,08:52:16.703000,RAW,56
594,08:52:16.705000,RAW,26
595,08:52:16.706000,RAW,41
596,08:52:16.706000,RAW,43
597,08:52:16.708000,RAW,40
598,08:52:16.708000,RAW,27
599,08:52:16.708000,RAW,33
600,08:52:16.708000,RAW,28
601,08:52:16.706000,RAW,35
602,08:52:16.708000,RAW,38
603,08:52:16.711000,RAW,54
604,08:52:16.710000,RAW,44
605,08:52:16.711000,RAW,53
606,08:52:16.712000,RAW,44
607,08:52:16.713000,RAW,26
608,08:52:16.713000,RAW,28
609,08:52:16.711000,RAW,48
610,08:52:16.712000,RAW,34
611,08:52:16.738000,RAW,38
612,08:52:16.739000,RAW,41
613,08:52:16.739000,RAW,33
614,08:52:16.741000,RAW,26
615,08:52:16.741000,RAW,38
616,08:52:16.742000,RAW,38
617,08:52:16.742000,RAW,29
618,08:52:16.742000,RAW,38
619,08:52:16.742000,RAW,43
620,08:52:16.744000,RAW,49
621,08:52:16.742000,RAW,43
622,08:52:16.741000,RAW,22
623,08:52:16.760000,RAW,58
624,08:52:16.759000,RAW,48
625,08:52:16.760000,RAW,66
626,08:52:16.760000,RAW,53
627,08:52:16.762000,RAW,36
628,08:52:16.762000,RAW,17
629,08:52:16.764000,RAW,5
630,08:52:16.765000,RAW,37
631,08:52:16.765000,RAW,35
632,08:52:16.766000,RAW,26
633,08:52:16.764000,RAW,10
634,08:52:16.765000,RAW,32
635,08:52:16.775000,RAW,34
636,08:52:16.776000,RAW,41
637,08:52:16.776000,RAW,49
638,08:52:16.776000,RAW,44
