,Delta,Theta,Alpha,Beta,Gamma,R
149,74625.63650556082,12861.875229713429,9874.959353252505,6704.996705330246,7004.701934816757,1.4727761678692914
150,86621.80334666124,34077.1357930336,14468.933051872671,31538.811872919363,11534.900339809354,0.45876595193797853
151,93672.59910492941,12101.378310526301,7337.759735975868,10618.201488007131,4857.7395947164005,0.6910548593623504
152,107141.92280409439,6252.441554344397,6265.6568544576985,11866.532327974885,4700.638494854267,0.5280107685449656
153,108777.15628120773,18065.87917571006,5380.14249776392,11497.860187000579,6547.676104163289,0.4679255452981313
154,98256.98987197834,7117.2606060525,2497.063760321834,8289.313288926169,2392.4515064659918,0.30123891730062885
155,82510.61705150483,7498.84062065123,5733.843278529404,13940.951284170027,4968.318221079124,0.4112949799229406
156,84492.09543649496,7707.56661744934,2980.5899220552374,4793.329576972879,2509.6928150153462,0.6218203597712058
157,83099.68548409021,1646.3104039774398,2851.213644067674,2144.265593273688,3295.7811784963806,1.3296923911905316
158,67394.62229630236,3551.4893152371837,11388.174336458838,8831.558510964183,4997.849559570961,1.2894863712130393
159,78209.62409702968,10314.136453284353,3797.7917047299015,13076.74268608866,5613.10905569359,0.29042337192809337
160,85781.77875298448,3765.596223795423,9175.056131456939,15394.264293156624,4393.851659532617,0.5960048467880095
161,89321.17256703995,4655.305354731298,7377.227163920578,10393.676752808262,6509.08078928772,0.7097803154141127
162,86640.53404250571,5504.725170325447,1412.266456990244,11790.316649638793,10957.91742400293,0.11978189381652528
163,3324451.5462775673,4369404.438429822,1361582.324407061,282349.18379630276,276615.783251525,4.822334904957109
164,153518.0062648409,8003.904481570216,3378.8989883313156,12780.805643508043,13758.142919345191,0.26437292629104436
165,84236.45028467168,19882.382977168898,1647.124912931856,11928.46907588432,9677.018838257918,0.13808351285093523
166,234705.60275582087,73645.66393406446,11729.721080457502,19325.556402122285,25703.515855511818,0.6069538613216524
167,299299.6784563143,174270.75005708664,40086.461494405456,33666.45179016511,26687.202967548044,1.1906945746541606
168,204186.15429696804,16184.08516171307,10196.096296775537,17451.959490923557,23655.111598586675,0.5842379076159522
169,134611.67643374935,39020.591524891155,4872.9295075286545,17827.28045026251,10674.630510087245,0.2733411594171056
170,74822.94371675832,13894.955873798366,4661.800711418248,15533.141364420533,25417.82243716673,0.3001196346604007
171,84676.23680365796,14108.466086885377,11618.043839795724,19082.947277273317,9437.213140873879,0.6088181071291928
172,92867.34299939215,3409.80685940051,7146.440196909602,17984.74596611207,21573.134780515167,0.3973611976713683
173,90525.92569342378,50083.9380857569,30881.85166743392,15240.383555246159,11160.668623717145,2.0263172219706727
174,122772.89827960324,14739.037501508294,6150.201840494557,15899.575634612193,9222.054390925776,0.3868154711693075
175,88470.02266134674,13024.539790709983,5652.13984566464,7143.808305006687,9641.870707965332,0.7911942208336383
176,120620.77114470286,16715.453338527608,35250.14906789984,12066.99583086548,11423.738789853578,2.9212033849995613
177,128926.38366220219,17903.119254627425,15674.654976481577,20326.926933401515,27437.871281627093,0.7711276292691713
178,81202.8559422815,24708.065818074738,13652.01706823103,24939.156056345702,10329.899904911628,0.547412953244555
179,104215.24953599088,25491.03834840397,7648.067094214726,12218.590988884771,12108.93836326759,0.6259369104974672
180,74411.89603209004,5428.175478215475,3179.597304294538,12205.201443426447,27573.380424401534,0.260511661280857
181,62239.347642363486,11043.348591418096,1279.386090449437,16367.03558440964,11867.358327716138,0.07816846757931604
182,79758.90336465304,11211.081164107707,13296.739404385069,10704.365753859567,20069.050639773763,1.2421790987094024
183,91089.92455681192,2922.0060817394915,8315.473553645894,18175.65198549069,16193.823572662492,0.4575062044698035
