,time,value
702,08:52:16.961000,19
703,08:52:16.961000,35
704,08:52:17.206000,16
705,08:52:17.206000,28
706,08:52:17.206000,19
707,08:52:17.207000,16
708,08:52:17.207000,19
709,08:52:17.206000,39
710,08:52:17.207000,19
711,08:52:17.207000,12
712,08:52:17.206000,4
713,08:52:17.243000,16
714,08:52:17.244000,11
715,08:52:17.247000,16
716,08:52:17.249000,23
717,08:52:17.249000,36
718,08:52:17.249000,34
719,08:52:17.250000,35
720,08:52:17.250000,19
721,08:52:17.250000,42
722,08:52:17.250000,7
723,08:52:17.250000,8
724,08:52:17.249000,39
725,08:52:17.249000,28
726,08:52:17.263000,19
727,08:52:17.263000,29
728,08:52:17.266000,23
729,08:52:17.269000,12
730,08:52:17.270000,26
731,08:52:17.270000,50
732,08:52:17.268000,11
733,08:52:17.270000,8
734,08:52:17.269000,6
735,08:52:17.269000,16
736,08:52:17.272000,48
737,08:52:17.273000,37
738,08:52:17.273000,37
739,08:52:17.282000,56
740,08:52:17.282000,57
741,08:52:17.282000,53
742,08:52:17.282000,42
743,08:52:17.282000,37
744,08:52:17.283000,45
745,08:52:17.283000,39
746,08:52:17.283000,41
747,08:52:17.282000,37
748,08:52:17.282000,42
749,08:52:17.282000,49
750,08:52:17.283000,42
751,08:52:17.301000,7
752,08:52:17.301000,-2
753,08:52:17.301000,-2
754,08:52:17.301000,9
755,08:52:17.302000,-2
756,08:52:17.301000,2
757,08:52:17.300000,52
758,08:52:17.301000,0
759,08:52:17.300000,48
760,08:52:17.301000,-3
761,08:52:17.301000,0
762,08:52:17.300000,24
763,08:52:17.339000,0
764,08:52:17.339000,-2
765,08:52:17.339000,43
766,08:52:17.339000,4
767,08:52:17.340000,55
768,08:52:17.340000,49
769,08:52:17.340000,41
770,08:52:17.339000,-5
771,08:52:17.339000,21
772,08:52:17.340000,40
773,08:52:17.339000,-3
774,08:52:17.339000,37
775,08:52:17.340000,37
776,08:52:17.394000,65
777,08:52:17.394000,60
778,08:52:17.394000,48
779,08:52:17.394000,65
780,08:52:17.394000,53
781,08:52:17.394000,45
782,08:52:17.395000,55
783,08:52:17.395000,55
784,08:52:17.395000,58
785,08:52:17.395000,52
786,08:52:17.395000,66
787,08:52:17.395000,68
788,08:52:17.411000,67
789,08:52:17.411000,65
790,08:52:17.412000,51
791,08:52:17.412000,34
792,08:52:17.412000,35
793,08:52:17.412000,26
794,08:52:17.412000,13
795,08:52:17.412000,10
796,08:52:17.412000,41
797,08:52:17.413000,9
798,08:52:17.413000,22
799,08:52:17.413000,10
800,08:52:17.412000,37
801,08:52:17.420000,50
802,08:52:17.421000,44
803,08:52:17.421000,33
804,08:52:17.421000,27
805,08:52:17.421000,33
806,08:52:17.421000,33
807,08:52:17.421000,42
808,08:52:17.422000,40
809,08:52:17.421000,32
810,08:52:17.420000,37
811,08:52:17.421000,26
812,08:52:17.421000,49
813,08:52:17.432000,22
814,08:52:17.432000,23
816,08:52:17.433000,25
817,08:52:17.433000,40
818,08:52:17.434000,56
819,08:52:17.434000,68
820,08:52:17.434000,76
821,08:52:17.434000,75
822,08:52:17.432000,26
824,08:52:17.431000,28
825,08:52:17.433000,44
827,08:52:17.451000,77
828,08:52:17.451000,85
829,08:52:17.491000,75
830,08:52:17.492000,71
831,08:52:17.492000,58
832,08:52:17.491000,80
833,08:52:17.496000,51
834,08:52:17.496000,49
835,08:52:17.496000,38
836,08:52:17.497000,39
837,08:52:17.496000,45
838,08:52:17.497000,43
839,08:52:17.502000,41
840,08:52:17.507000,48
841,08:52:17.508000,56
842,08:52:17.508000,51
843,08:52:17.508000,57
844,08:52:17.508000,51
845,08:52:17.508000,57
846,08:52:17.509000,64
847,08:52:17.509000,67
848,08:52:17.509000,65
849,08:52:17.509000,60
850,08:52:17.509000,59
851,08:52:17.509000,64
852,08:52:17.519000,32
853,08:52:17.520000,29
854,08:52:17.519000,64
855,08:52:17.519000,67
856,08:52:17.524000,28
857,08:52:17.523000,41
858,08:52:17.523000,42
859,08:52:17.526000,83
860,08:52:17.525000,68
861,08:52:17.526000,81
862,08:52:17.519000,50
863,08:52:17.528000,71
864,08:52:17.528000,49
865,08:52:17.528000,27
866,08:52:17.519000,70
867,08:52:17.528000,59
868,08:52:17.530000,25
869,08:52:17.530000,44
